zero crossings,amplitude,duration,envelope symmetry,event,start,end,species,height,recording
1.0,0.53073,0.19,0.43028,bite,1.123046,1.763046,alfalfa,tall,recording_04
1.0,0.28086,0.2,0.47267,bite,2.0314970000000003,2.591497,alfalfa,tall,recording_04
1.0,0.43924,0.19,0.45374,bite,2.7182,3.3182,alfalfa,tall,recording_04
1.0,0.33654,0.22,0.31929,bite,3.6,4.28,alfalfa,tall,recording_04
3.0,0.32875,0.32,0.57773,chew-bite,4.56,5.4,alfalfa,tall,recording_04
3.0,0.39178,0.34,0.43431,chew-bite,5.64,6.2,alfalfa,tall,recording_04
2.0,0.20275,0.2,0.35079,chew,6.28,6.84,alfalfa,tall,recording_04
1.0,0.77021,0.32,0.43634,chew-bite,7.085203999999999,7.685204,alfalfa,tall,recording_04
2.0,0.3461,0.37,0.41463,chew-bite,8.0,8.6,alfalfa,tall,recording_04
1.0,0.42518,0.19,0.44131,bite,8.8,9.48,alfalfa,tall,recording_04
3.0,0.53268,0.35,0.52645,bite,9.585036,10.203981,alfalfa,tall,recording_04
3.0,0.32096,0.39,0.62096,chew-bite,10.487811,11.058784,alfalfa,tall,recording_04
1.0,0.14086,0.23,0.55735,chew,11.264828999999999,11.784829,alfalfa,tall,recording_04
1.0,0.10239,0.19,0.43083,chew,12.0,12.36,alfalfa,tall,recording_04
1.0,0.51717,0.31,0.55853,bite,12.531227000000001,13.251226999999998,alfalfa,tall,recording_04
7.0,0.4753,0.34,0.71968,bite,13.44,14.2,alfalfa,tall,recording_04
2.0,0.47887,0.33,0.48088,bite,14.232363000000001,15.032363,alfalfa,tall,recording_04
5.0,0.62928,0.38,0.49192,bite,15.124904,15.804904,alfalfa,tall,recording_04
1.0,0.21361,0.26,0.54182,chew,15.968976999999999,16.648977,alfalfa,tall,recording_04
1.0,0.15711,0.17,0.50433,chew,16.829987,17.349987,alfalfa,tall,recording_04
5.0,0.39432,0.37,0.50798,bite,17.526104,18.126104,alfalfa,tall,recording_04
